digikey_pn,gridid,quantity,parametrics
S6.8QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S6.8QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT6R80'), ('Description', 'RES 6.8 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 6-8'), ('RoHS Information', 'RoHS Compliance'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '6.8'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S6.8QCT')])"
S8.2QCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'S8.2QCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CFM14JT8R20'), ('Description', 'RES 8.2 OHM 1/4W 5% CF MINI'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CFMSeries 8-2'), ('RoHS Information', 'RoHS Compliance'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CFM'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '8.2'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '±400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CFM Series'), ('Other Names', 'S8.2QCT')])"
CF14JT10R0CT-ND,,1000,"OrderedDict([('Digi-Key Part Number', 'CF14JT10R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT10R0'), ('Description', 'RES 10 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 10'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '10'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4105%RCT CF1/4105%RCT-ND CF1/410JRCT CF1/410JRCT-ND CF14JT10R0CT')])"
CF14JT12R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT12R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT12R0'), ('Description', 'RES 12 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 12'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '12'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4125%RCT CF1/4125%RCT-ND CF1/412JRCT CF1/412JRCT-ND CF14JT12R0CT')])"
CF14JT15R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT15R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT15R0'), ('Description', 'RES 15 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 15'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '15'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4155%RCT CF1/4155%RCT-ND CF1/415JRCT CF1/415JRCT-ND CF14JT15R0CT')])"
CF14JT18R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT18R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT18R0'), ('Description', 'RES 18 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 18'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '18'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4185%RCT CF1/4185%RCT-ND CF1/418JRCT CF1/418JRCT-ND CF14JT18R0CT')])"
CF14JT22R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT22R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT22R0'), ('Description', 'RES 22 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 22'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '22'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4225%RCT CF1/4225%RCT-ND CF1/422JRCT CF1/422JRCT-ND CF14JT22R0CT')])"
CF14JT27R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT27R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT27R0'), ('Description', 'RES 27 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 27'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '27'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4275%RCT CF1/4275%RCT-ND CF1/427JRCT CF1/427JRCT-ND CF14JT27R0CT')])"
CF14JT33R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT33R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT33R0'), ('Description', 'RES 33 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 33'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '33'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4335%RCT CF1/4335%RCT-ND CF1/433JRCT CF1/433JRCT-ND CF14JT33R0CT')])"
CF14JT39R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT39R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT39R0'), ('Description', 'RES 39 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 39'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '39'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4395%RCT CF1/4395%RCT-ND CF1/439JRCT CF1/439JRCT-ND CF14JT39R0CT')])"
