digikey_pn,gridid,quantity,parametrics
CF14JT47R0CT-ND,,1000,"OrderedDict([('Digi-Key Part Number', 'CF14JT47R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT47R0'), ('Description', 'RES 47 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 47'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '47'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4475%RCT CF1/4475%RCT-ND CF1/447JRCT CF1/447JRCT-ND CF14JT47R0CT')])"
CF14JT56R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT56R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT56R0'), ('Description', 'RES 56 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 56'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '56'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4565%RCT CF1/4565%RCT-ND CF1/456JRCT CF1/456JRCT-ND CF14JT56R0CT')])"
CF14JT68R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT68R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT68R0'), ('Description', 'RES 68 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 68'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '68'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4685%RCT CF1/4685%RCT-ND CF1/468JRCT CF1/468JRCT-ND CF14JT68R0CT')])"
CF14JT82R0CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT82R0CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT82R0'), ('Description', 'RES 82 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 82'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '82'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/4825%RCT CF1/4825%RCT-ND CF1/482JRCT CF1/482JRCT-ND CF14JT82R0CT')])"
CF14JT100RCT-ND,,1000,"OrderedDict([('Digi-Key Part Number', 'CF14JT100RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT100R'), ('Description', 'RES 100 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 100'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '100'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41005%RCT CF1/41005%RCT-ND CF1/4100JRCT CF1/4100JRCT-ND CF14JT100RCT')])"
CF14JT120RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT120RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT120R'), ('Description', 'RES 120 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 120'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '120'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41205%RCT CF1/41205%RCT-ND CF1/4120JRCT CF1/4120JRCT-ND CF14JT120RCT')])"
CF14JT150RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT150RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT150R'), ('Description', 'RES 150 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 150'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '150'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41505%RCT CF1/41505%RCT-ND CF1/4150JRCT CF1/4150JRCT-ND CF14JT150RCT')])"
CF14JT180RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT180RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT180R'), ('Description', 'RES 180 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 180'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '180'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41805%RCT CF1/41805%RCT-ND CF1/4180JRCT CF1/4180JRCT-ND CF14JT180RCT')])"
CF14JT220RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT220RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT220R'), ('Description', 'RES 220 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 220'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '220'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/42205%RCT CF1/42205%RCT-ND CF1/4220JRCT CF1/4220JRCT-ND CF14JT220RCT')])"
CF14JT330RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT330RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT330R'), ('Description', 'RES 330 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 330'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '330'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/43305%RCT CF1/43305%RCT-ND CF1/4330JRCT CF1/4330JRCT-ND CF14JT330RCT')])"
CF14JT390RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT390RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT390R'), ('Description', 'RES 390 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 390'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '390'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/43905%RCT CF1/43905%RCT-ND CF1/4390JRCT CF1/4390JRCT-ND CF14JT390RCT')])"
CF14JT470RCT-ND,,1000,"OrderedDict([('Digi-Key Part Number', 'CF14JT470RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT470R'), ('Description', 'RES 470 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 470'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '470'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/44705%RCT CF1/44705%RCT-ND CF1/4470JRCT CF1/4470JRCT-ND CF14JT470RCT')])"
CF14JT560RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT560RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT560R'), ('Description', 'RES 560 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 560'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '560'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/45605%RCT CF1/45605%RCT-ND CF1/4560JRCT CF1/4560JRCT-ND CF14JT560RCT')])"
CF14JT680RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT680RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT680R'), ('Description', 'RES 680 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 680'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '680'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/46805%RCT CF1/46805%RCT-ND CF1/4680JRCT CF1/4680JRCT-ND CF14JT680RCT')])"
CF14JT820RCT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT820RCT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT820R'), ('Description', 'RES 820 OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 820'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '820'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/48205%RCT CF1/48205%RCT-ND CF1/4820JRCT CF1/4820JRCT-ND CF14JT820RCT')])"
CF14JT1K00CT-ND,,1000,"OrderedDict([('Digi-Key Part Number', 'CF14JT1K00CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT1K00'), ('Description', 'RES 1K OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 1k'), ('RoHS Information', 'RoHS Compliance'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1k'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41K5%RCT CF1/41K5%RCT-ND CF1/41KJRCT CF1/41KJRCT-ND CF14JT1K00CT')])"
CF14JT1K20CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT1K20CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT1K20'), ('Description', 'RES 1.2K OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 1-2k'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1.2k'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41.2K5%RCT CF1/41.2K5%RCT-ND CF1/41.2KJRCT CF1/41.2KJRCT-ND CF14JT1K20CT')])"
CF14JT1K80CT-ND,,500,"OrderedDict([('Digi-Key Part Number', 'CF14JT1K80CT-ND'), ('Manufacturer', 'Stackpole Electronics Inc.'), ('Manufacturer Part Number', 'CF14JT1K80'), ('Description', 'RES 1.8K OHM 1/4W 5% CARBON FILM'), ('Lead Free Status / RoHS Status', 'Lead free / RoHS Compliant'), ('Moisture Sensitivity Level (MSL)', '1  (Unlimited)'), ('Datasheets', 'CF, CFM Series'), ('Product Photos', 'CF 1-8k'), ('RoHS Information', 'RoHS Compliance'), ('Catalog Drawings', 'CF, CD Series'), ('PCN Part Number', 'Global Part Number 9/Aug/2010'), ('EDA / CAD Models', 'Download from Accelerated Designs'), ('Standard Package', '1'), ('Category', 'Resistors'), ('Family', 'Through Hole Resistors'), ('Series', 'CF'), ('Packaging', 'Cut Tape (CT)'), ('Resistance (Ohms)', '1.8k'), ('Tolerance', '±5%'), ('Power (Watts)', '0.25W, 1/4W'), ('Composition', 'Carbon Film'), ('Features', 'Flame Retardant Coating, Safety'), ('Temperature Coefficient', '0/ -400ppm/°C'), ('Operating Temperature', '-55°C ~ 155°C'), ('Package / Case', 'Axial'), ('Supplier Device Package', 'Axial'), ('Size / Dimension', '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)'), ('Height', '-'), ('Number of Terminations', '2'), ('Online Catalog', 'CF Series'), ('Other Names', 'CF1/41.8K5%RCT CF1/41.8K5%RCT-ND CF1/41.8KJRCT CF1/41.8KJRCT-ND CF14JT1K80CT')])"
