digikey_pn,gridid,quantity,parametrics,title,package,quickdesc,mfrpn,desc,code
S6.8QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT6R80', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S6.8QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S6.8QCT-ND', 'Resistance (Ohms)': '6.8', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 6-8', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 6.8 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 6.8Ω",Axial,±5%,CFM14JT6R80,RES 6.8 OHM 1/4W 5% CF MINI,S6.8QCT-ND
S8.2QCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CFM Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CFM14JT8R20', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CFM', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'S8.2QCT', 'Temperature Coefficient': '±400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'S8.2QCT-ND', 'Resistance (Ohms)': '8.2', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)', 'Product Photos': 'CFMSeries 8-2', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 8.2 OHM 1/4W 5% CF MINI', 'Category': 'Resistors'}","Res, 8.2Ω",Axial,±5%,CFM14JT8R20,RES 8.2 OHM 1/4W 5% CF MINI,S8.2QCT-ND
CF14JT10R0CT-ND,GRID,1000,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT10R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4105%RCT \rCF1/4105%RCT-ND \rCF1/410JRCT \rCF1/410JRCT-ND \rCF14JT10R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT10R0CT-ND', 'Resistance (Ohms)': '10', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 10', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 10 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 10Ω",Axial,±5%,CF14JT10R0,RES 10 OHM 1/4W 5% CARBON FILM,CF14JT10R0CT-ND
CF14JT12R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT12R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4125%RCT \rCF1/4125%RCT-ND \rCF1/412JRCT \rCF1/412JRCT-ND \rCF14JT12R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT12R0CT-ND', 'Resistance (Ohms)': '12', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 12', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 12 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 12Ω",Axial,±5%,CF14JT12R0,RES 12 OHM 1/4W 5% CARBON FILM,CF14JT12R0CT-ND
CF14JT15R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT15R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4155%RCT \rCF1/4155%RCT-ND \rCF1/415JRCT \rCF1/415JRCT-ND \rCF14JT15R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT15R0CT-ND', 'Resistance (Ohms)': '15', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 15', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 15 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 15Ω",Axial,±5%,CF14JT15R0,RES 15 OHM 1/4W 5% CARBON FILM,CF14JT15R0CT-ND
CF14JT18R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT18R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4185%RCT \rCF1/4185%RCT-ND \rCF1/418JRCT \rCF1/418JRCT-ND \rCF14JT18R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT18R0CT-ND', 'Resistance (Ohms)': '18', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 18', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 18 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 18Ω",Axial,±5%,CF14JT18R0,RES 18 OHM 1/4W 5% CARBON FILM,CF14JT18R0CT-ND
CF14JT22R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT22R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4225%RCT \rCF1/4225%RCT-ND \rCF1/422JRCT \rCF1/422JRCT-ND \rCF14JT22R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT22R0CT-ND', 'Resistance (Ohms)': '22', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 22', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 22 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 22Ω",Axial,±5%,CF14JT22R0,RES 22 OHM 1/4W 5% CARBON FILM,CF14JT22R0CT-ND
CF14JT27R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT27R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4275%RCT \rCF1/4275%RCT-ND \rCF1/427JRCT \rCF1/427JRCT-ND \rCF14JT27R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT27R0CT-ND', 'Resistance (Ohms)': '27', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 27', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 27 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 27Ω",Axial,±5%,CF14JT27R0,RES 27 OHM 1/4W 5% CARBON FILM,CF14JT27R0CT-ND
CF14JT33R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT33R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4335%RCT \rCF1/4335%RCT-ND \rCF1/433JRCT \rCF1/433JRCT-ND \rCF14JT33R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT33R0CT-ND', 'Resistance (Ohms)': '33', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 33', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 33 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 33Ω",Axial,±5%,CF14JT33R0,RES 33 OHM 1/4W 5% CARBON FILM,CF14JT33R0CT-ND
CF14JT39R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT39R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4395%RCT \rCF1/4395%RCT-ND \rCF1/439JRCT \rCF1/439JRCT-ND \rCF14JT39R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT39R0CT-ND', 'Resistance (Ohms)': '39', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 39', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 39 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 39Ω",Axial,±5%,CF14JT39R0,RES 39 OHM 1/4W 5% CARBON FILM,CF14JT39R0CT-ND
CF14JT47R0CT-ND,GRID,1000,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT47R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4475%RCT \rCF1/4475%RCT-ND \rCF1/447JRCT \rCF1/447JRCT-ND \rCF14JT47R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT47R0CT-ND', 'Resistance (Ohms)': '47', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 47', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 47 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 47Ω",Axial,±5%,CF14JT47R0,RES 47 OHM 1/4W 5% CARBON FILM,CF14JT47R0CT-ND
CF14JT56R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT56R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4565%RCT \rCF1/4565%RCT-ND \rCF1/456JRCT \rCF1/456JRCT-ND \rCF14JT56R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT56R0CT-ND', 'Resistance (Ohms)': '56', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 56', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 56 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 56Ω",Axial,±5%,CF14JT56R0,RES 56 OHM 1/4W 5% CARBON FILM,CF14JT56R0CT-ND
CF14JT68R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT68R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4685%RCT \rCF1/4685%RCT-ND \rCF1/468JRCT \rCF1/468JRCT-ND \rCF14JT68R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT68R0CT-ND', 'Resistance (Ohms)': '68', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 68', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 68 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 68Ω",Axial,±5%,CF14JT68R0,RES 68 OHM 1/4W 5% CARBON FILM,CF14JT68R0CT-ND
CF14JT82R0CT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT82R0', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/4825%RCT \rCF1/4825%RCT-ND \rCF1/482JRCT \rCF1/482JRCT-ND \rCF14JT82R0CT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT82R0CT-ND', 'Resistance (Ohms)': '82', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 82', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 82 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 82Ω",Axial,±5%,CF14JT82R0,RES 82 OHM 1/4W 5% CARBON FILM,CF14JT82R0CT-ND
CF14JT100RCT-ND,GRID,1000,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT100R', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/41005%RCT \rCF1/41005%RCT-ND \rCF1/4100JRCT \rCF1/4100JRCT-ND \rCF14JT100RCT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT100RCT-ND', 'Resistance (Ohms)': '100', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 100', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 100 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 100Ω",Axial,±5%,CF14JT100R,RES 100 OHM 1/4W 5% CARBON FILM,CF14JT100RCT-ND
CF14JT120RCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT120R', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/41205%RCT \rCF1/41205%RCT-ND \rCF1/4120JRCT \rCF1/4120JRCT-ND \rCF14JT120RCT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT120RCT-ND', 'Resistance (Ohms)': '120', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 120', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 120 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 120Ω",Axial,±5%,CF14JT120R,RES 120 OHM 1/4W 5% CARBON FILM,CF14JT120RCT-ND
CF14JT150RCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT150R', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/41505%RCT \rCF1/41505%RCT-ND \rCF1/4150JRCT \rCF1/4150JRCT-ND \rCF14JT150RCT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT150RCT-ND', 'Resistance (Ohms)': '150', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 150', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 150 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 150Ω",Axial,±5%,CF14JT150R,RES 150 OHM 1/4W 5% CARBON FILM,CF14JT150RCT-ND
CF14JT180RCT-ND,GRID,500,"{'Lead Free Status / RoHS Status': 'Lead free / RoHS Compliant', 'PCN Part Number': 'Global Part Number 9/Aug/2010', 'Operating Temperature': '-55°C ~ 155°C', 'Online Catalog': 'CF Series', 'Number of Terminations': '2', 'Family': 'Through Hole Resistors', 'Manufacturer Part Number': 'CF14JT180R', 'EDA / CAD Models': 'Download from Accelerated Designs', 'Supplier Device Package': 'Axial', 'Features': 'Flame Retardant Coating, Safety', 'Series': 'CF', 'Catalog Drawings': 'CF, CD Series', 'Manufacturer': 'Stackpole Electronics Inc.', 'Other Names': 'CF1/41805%RCT \rCF1/41805%RCT-ND \rCF1/4180JRCT \rCF1/4180JRCT-ND \rCF14JT180RCT', 'Temperature Coefficient': '0/ -400ppm/°C', 'Datasheets': 'CF, CFM Series', 'Digi-Key Part Number': 'CF14JT180RCT-ND', 'Resistance (Ohms)': '180', 'Power (Watts)': '0.25W, 1/4W', 'Composition': 'Carbon Film', 'Tolerance': '±5%', 'Package / Case': 'Axial', 'Packaging': 'Cut Tape (CT)', 'Size / Dimension': '0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)', 'Product Photos': 'CF 180', 'Standard Package': '1', 'Moisture Sensitivity Level (MSL)': '1  (Unlimited)', 'RoHS Information': 'RoHS Compliance', 'Height': '-', 'Description': 'RES 180 OHM 1/4W 5% CARBON FILM', 'Category': 'Resistors'}","Res, 180Ω",Axial,±5%,CF14JT180R,RES 180 OHM 1/4W 5% CARBON FILM,CF14JT180RCT-ND
