serial,gridid,subgridid,digikey_pn,cost,manual_title,manual_package,manual_quickdesc,manual_mfrpn,manual_desc,notes
S109,A14,,296-1857-5-ND,,"IC, 555 Timer",,,,,Timer DIP8
S110,,,MCP4131-103E/P-ND,,,,,,,"Digipot, Re-pick standardized"
S111,B28,,,$2.00 ,Si4432 RF Module,,,,,"Non-stock, no replacement when depleted"
S112,E3,,,,"Header, Pins & Sockets",,,,,
S113,F3,,,,"Headers, Misc",,,,,
S114,H6,,,,Switches,Misc,,,,
S115,D27,,,,Knobs,Misc,,,,
S116,B23,,,,3.5mm Barrel Jack,,,,,
S117,,,668-1460-ND,,,,,,,"Microphone, re-pick standardized"
S118,,,,,Buzzer,Misc,,,,re-pick standardized
S119,A28,,,,Relays,Misc,,,,
S120,B28,,,$2.00 ,Motors,Misc,,,,
S121,B22,,,$2.00 ,Breakout Boards,Misc,,,,
S122,F28,,751-1031-ND,$1.00 ,,,,,,Reflective Sensor
S123,E15,,PDV-P8103-ND,$1.00 ,,,,,,CdS Photocell
S124,E15,,475-1070-ND,$1.00 ,,,,,,Photocell
S125,F15,,480-3541-ND,,,,,,,Reflective Sensor
S126,E4,,,,"LEDs, Red",5mm & SMT,,,,
S127,G4,,,,"LEDs, Yellow",5mm & SMT,,,,
S128,H4,,,,"LEDs, Green",5mm & SMT,,,,
S129,E5,,,,"LEDs, Blue",5mm & SMT,,,,
S130,F5,,,,"LEDs, White",5mm & SMT,,,,
S131,A24,,,,"LEDs, Red & Green",5mm,Forward and Reverse,,,
S132,H28,,,,Labels,44mm x 16mm,Supernode Interal Usage,,,
S133,D9,,,,"IC, Op-amps, Misc",,,,,
S134,E19,,,,"IC, MCU, MSP430",,,,,
S135,E20,,,,"IC, MCU, PIC, 8-bit",,,,,
S136,F20,,,,"IC, MCU, PIC, 16-bit",,,,,
S137,E21,,,,"IC, MCU, Atmel AVR",,,,,
S138,F21,,,,"IC, MCU, Atmel Misc",,,,,
S139,H21,,,,"IC, FPGAs, Misc",,,,,
S140,A22,,,,SMD breadboard adapters,,,,,
S141,G22,,,,"Diodes, Misc",,Schottky,,,
S142,A23,,,,Screw Terminals,,,,,
S143,E23,,,,"Zener Diodes, Misc",,,,,
S144,F23,,,,"Zener Diodes, Misc",,,,,
S145,G5,,,,"LEDs, Pre-wired, Various","Prewired, Inline Resistor",,,,
S146,C24,,,,"LED Matrix, 8x8",,,,,
S147,D24,,,,Numeric LEDs,,,,,
S148,A25,,,,Crystals,,,,,
S149,G25,,BS250P-ND,,,,,,,
S150,D27,,,,,,,,,
S151,E27,,,,Zipties,,,,,
S152,F27,,,,Zipties,,,,,
S153,H27,,,,Ferrite chokes,,,,,
S154,G28,,,,BJT array,,,,,
S155,D3,,,,Polyester-film Capacitors,,,,,
S156,H5,,,,"LEDs, RGB",5mm,Common-cathode,,,
S157,F6,,,,Tactile Switches,,,,,
S158,G6,,,,Tactile Switches,Misc,,,,
S159,G7,,,,Potentiometers,,,,,
S160,H7,,,,"Trimpot, 10k",,,,,
