digikey_pn,gridid,subgridid,cost
BC1001CT-ND,A5,-1,
BC1005CT-ND,A5,-2,
BC1009CT-ND,A5,-3,
732-8625-1-ND,G5,-1,
399-6604-ND,G5,-2,
732-8700-1-ND,G5,-3,
887-2011-ND,H6,-1,
887-2015-ND,H6,-2,
450-1650-ND,F22,-1,
450-1649-ND,F22,-2,
450-1804-ND,F22,-3,
450-1644-ND,G22,-1,
450-1653-ND,G22,-2,
450-1643-ND,G22,-3,
