type,package,desc,val1,val2,val3,gridid
Capacitors,Radial,Ceramic,10pF,22pF,47pF,A-5
Capacitors,Radial,Ceramic,,100pF,,B-5
Capacitors,Radial,Ceramic,,1nF,,C-5
Capacitors,Radial,Ceramic,,10nF,,D-5
Capacitors,Radial,Ceramic,,100nF,,E-5
Capacitors,Radial,Ceramic,,1μF,,F-5
Capacitors,Radial,Aluminum,10μF,22μF,47μF,G-5
Capacitors,Radial,Aluminum,,100μF,,H-5
